Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
56414135,"May 26, 2013, 3:36:03 PM",Lunch Ride,Ride,,6221,37.27,,,false,,,activities/56414135.gpx,61.23500061035156,,6221.0,5455.0,37278.30078125,16.600000381469727,,86.9166030883789,,153.5,200.60000610351562,81.52870178222656,-0.022265000268816948,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
59220916,"Jun 9, 2013, 1:02:31 PM",Morning Ride,Ride,,2632,18.15,,,false,,,activities/59220916.gpx,61.23500061035156,,2632.0,2579.0,18150.69921875,18.200000762939453,,116.49400329589844,,119.5,200.3000030517578,27.700000762939453,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
61722277,"Jun 20, 2013, 4:29:22 PM",Lunch Ride,Ride,,7442,47.27,,,false,,,activities/61722277.gpx,61.23500061035156,,7442.0,7281.0,47269.5,15.100000381469727,,36.06529998779297,,171.39999389648438,187.8000030517578,49.29999923706055,0.003596399910748005,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
62097264,"Jun 22, 2013, 11:17:25 AM",Morning Ride,Ride,,15501,65.60,,,false,,,activities/62097264.gpx,61.23500061035156,,15501.0,10474.0,65603.0,21.100000381469727,,1122.1400146484375,,240.60000610351562,485.8999938964844,94.0,-0.007011869922280312,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
63012003,"Jun 26, 2013, 2:59:34 PM",Morning Ride,Ride,,8930,32.19,,,false,,,activities/63012003.gpx,61.23500061035156,,8930.0,4607.0,32192.19921875,17.100000381469727,,322.6910095214844,,44.0,194.89999389648438,53.099998474121094,-0.1795469969511032,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
63782073,"Jun 30, 2013, 12:42:20 PM",Morning Ride,Ride,,4627,30.83,,,false,,Specialized Tarmac SL2,activities/63782073.gpx,61.23500061035156,5.44310998916626,4627.0,3845.0,30837.5,13.399999618530273,,43.0275993347168,,19.200000762939453,30.5,37.099998474121094,0.0003242800012230873,,,,,,,,159.99200439453125,685.9136962890625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,874752.0,,,,,,,,,,,,,,,,,,,,,,,,,""
64327722,"Jul 2, 2013, 9:26:01 PM",Afternoon Ride,Ride,,1422,9.91,,,false,,,activities/64327722.gpx,61.23500061035156,,1422.0,1157.0,9910.0,11.100000381469727,,13.837499618530273,,175.1999969482422,189.1999969482422,50.0,0.07164479792118073,,,,,,,,163.97500610351562,211.53677368164062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
67157522,"Jul 14, 2013, 11:04:48 PM",Evening Ride,Ride,,4899,31.99,,,false,,,activities/67157522.gpx,61.23500061035156,,4899.0,4336.0,31995.0,14.300000190734863,,14.487700462341309,,171.39999389648438,186.6999969482422,38.70000076293945,-0.01969059929251671,,,,,,,,128.4600067138672,621.057861328125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
67898183,"Jul 17, 2013, 10:10:53 PM",Evening Ride,Ride,,8213,58.19,,,false,,,activities/67898183.gpx,61.23500061035156,,8213.0,7537.0,58193.8984375,19.100000381469727,,339.6090087890625,,2.5999999046325684,166.0,51.29999923706055,0.00017183899763040245,,,,,,,,155.76499938964844,1309.0108642578125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
68726009,"Jul 21, 2013, 12:18:24 PM",Morning Ride,Ride,,9538,66.78,,,false,,,activities/68726009.gpx,61.23500061035156,,9538.0,8197.0,66779.1015625,15.699999809265137,,243.281005859375,,-0.10000000149011612,38.900001525878906,22.5,0.0,,,,,,,,158.82899475097656,1451.6422119140625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
69330612,"Jul 23, 2013, 10:10:15 PM",Evening Ride,Ride,,6051,48.93,,,false,,,activities/69330612.gpx,61.23500061035156,,6051.0,5702.0,48937.8984375,17.299999237060547,,292.1440124511719,,17.299999237060547,190.60000610351562,29.600000381469727,-0.0002043410058831796,,,,,,,,192.60499572753906,1224.5306396484375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
69589135,"Jul 24, 2013, 10:18:23 PM",Evening Ride,Ride,,6475,48.45,,,false,,,activities/69589135.gpx,61.23500061035156,,6475.0,6149.0,48454.80078125,15.100000381469727,,184.5240020751953,,2.5999999046325684,45.099998474121094,17.899999618530273,-0.00495307007804513,,,,,,,,151.67599487304688,1039.9111328125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
70435564,"Jul 28, 2013, 12:18:31 PM",Morning Ride,Ride,,9646,76.05,,,false,,Tarmac SL2,activities/70435564.gpx,61.23500061035156,5.44310998916626,9646.0,8686.0,76052.8984375,16.899999618530273,,298.5469970703125,,0.0,59.400001525878906,24.600000381469727,-0.00013148700236342847,,,,,,,,190.17100524902344,1841.78515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,892014.0,,,,,,,,,,,,,,,,,,,,,,,,,""
70753058,"Mar 27, 2013, 11:54:29 PM",03/27/2013,Ride,"",602,8.03,,,false,,Specialized Tarmac SL2,activities/77356813.tcx.gz,61.23500061035156,5.44310998916626,602.0,602.0,8029.89990234375,18.200000762939453,,0.0,,,,0.0,0.0,,,113.0,91.5947036743164,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,874752.0,,,,,,,,,,,,,,,,,,,,,,,,,""
70753061,"Jan 27, 2013, 3:59:49 PM","01/27/2013 Buffalo, NY",Run,"",1027,4.95,193.0,70,false,,,activities/77356807.tcx.gz,61.23500061035156,,1027.0,1024.0,4953.89990234375,7.300000190734863,,0.0,,173.60000610351562,175.60000610351562,14.5,-0.0040372200310230255,,,,,193.0,187.38900756835938,,,372.6473693847656,,,70.0,,,,,,,,,,,,,0.0,,,4952.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
71024486,"Jul 30, 2013, 10:46:12 PM",Brick-bike-1,Ride,,1202,9.76,,,false,,Specialized Tarmac SL2,activities/71024486.gpx,61.23500061035156,5.44310998916626,1202.0,1166.0,9760.7001953125,13.399999618530273,,0.0,,10.800000190734863,18.899999618530273,15.600000381469727,0.0,,,,,,,,163.3699951171875,212.3957061767578,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,874752.0,,,,,,,,,,,,,,,,,,,,,,,,,""
71025951,"Jul 30, 2013, 11:08:15 PM",Brick-run-1,Run,"",321,1.55,,,false,,Zoot,activities/71025951.gpx,61.23500061035156,,321.0,321.0,1555.9000244140625,6.599999904632568,,0.0,,16.799999237060547,18.700000762939453,19.100000381469727,-0.025708600878715515,,,,,,,,,117.10829162597656,,,,,,,,,,,,,,,,0.0,,,1556.5,,,,,,,,,,,,,,,,183817.0,,,,,,,,,,,,,,,,,,,,,,,,""
71031282,"Jul 30, 2013, 11:19:18 PM",Brick-bike-2,Ride,,1220,9.75,,,false,,Specialized Tarmac SL2,activities/71031282.gpx,61.23500061035156,5.44310998916626,1220.0,1193.0,9755.7001953125,13.199999809265137,,0.0,,10.899999618530273,18.899999618530273,17.399999618530273,-0.0020500801037997007,,,,,,,,165.70700073242188,220.42262268066406,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,874752.0,,,,,,,,,,,,,,,,,,,,,,,,,""
